"","industry","Rsq","DWH","DWH-p-val","J","J-p-val","a","SE(a)","t(a)","b","SE(b)","t(b)","s","SE(s)","t(s)","h","SE(h)","t(h)","psi.b","SE(psi.b)","t(psi.b)","psi.s","SE(psi.s)","t(psi.s)","psi.h","SE(psi.h)","t(psi.h)"
"12","MedEq","0.555054428445198","2.81287354424022","0.42138508470575","2.36938967207519","0.668165968555239","0.00287178089656605","0.00177153905428784","1.62106553034503","0.822576514379615","0.0643128276779415","12.7902402068032","0.190735923195544","0.117008802732229","1.6300989219763","0.0381910457102618","0.0855135974101776","0.446607871343235","-0.0385094584068794","0.0834939588011508","-0.461224488092527","-0.0259664057518262","0.134067188834425","-0.193682033445895","-0.24458142304428","0.109413354511389","-2.23538912719124"
"13","Drugs","0.459040460733741","4.031436156419","0.258089540219236","5.80824184855089","0.213933880409914","0.0037961089385876","0.0018053093542915","2.10274706080908","0.625044482366602","0.0655388031818464","9.53701398288171","-0.145015086821703","0.11923930527846","-1.21616849815628","-0.0324884063485347","0.0871437166175099","-0.372814100770253","0.130576550884382","0.085085578263552","1.53464962628475","-0.13131797694937","0.136622870108641","-0.961171265432703","-0.206861226695217","0.111499067381965","-1.85527315655984"
"14","Chems","0.6867455995709","28.310978927379","3.12511413434393e-06","7.12042301987344","0.129659628590398","-0.000842568453479687","0.00171661409530167","-0.490831606116818","1.13014470620027","0.0623188668821317","18.1348725152174","-0.279821269749249","0.113381051102631","-2.46797209082105","0.381447998387823","0.0828623260091063","4.60339477250377","-0.0575568118028162","0.0809053044603692","-0.7114096187724","0.366543628917632","0.129910557440779","2.82150762908337","0.0418621209211859","0.106021092853633","0.394847098765322"
"15","Rubbr","0.623768924607379","1.13160793780347","0.769449797011061","6.26315252323151","0.180338927856919","0.00160717330441846","0.00191446249611397","0.8394906182183","0.923584965900415","0.0695014294550538","13.2887189967466","0.405933647927115","0.126448787004643","3.21026130454071","0.146160782709416","0.0924126254813986","1.58161054236941","0.079153855050816","0.0902300473647452","0.877244968417728","-0.0205809797174975","0.144883402012334","-0.14205201860007","0.135476018518219","0.118240556582187","1.14576607582231"
"16","Txtls","0.57442502866426","16.4731996288985","0.000906813163920043","7.35900981295352","0.118089485366236","-0.00618060737224546","0.00290183117331547","-2.12989901999841","1.41901717650906","0.105346234252194","13.4700322852737","0.25826703111815","0.191663734705074","1.34750077533219","0.873851092770936","0.140073695867211","6.23850957426968","-0.337670567353004","0.136765470592516","-2.46897528952372","0.509420679752964","0.219605854546006","2.31970445781646","-0.173983925618321","0.179222175277304","-0.970772312907829"
"17","BldMt","0.731160422888057","44.6575771535665","1.09404591918169e-09","2.3460785923937","0.672392849875856","-0.00254496593082399","0.00176665942358783","-1.44055265935499","1.38373506445969","0.0641356806669386","21.57512090104","-0.151034869739203","0.11668650684798","-1.29436447982776","0.561654627939451","0.0852780537600495","6.58615673288936","-0.302651115667948","0.0832639781616354","-3.63483852621634","0.456591133923514","0.133697906334602","3.41509561698607","-0.166446450756967","0.109111979973598","-1.52546448884203"
"18","Cnstr","0.633405866377844","10.7993548146008","0.0128618221809288","2.03246178799248","0.729788130181691","-0.00268683123856157","0.00227327403031801","-1.18192140618687","1.3123999697313","0.0825274953000426","15.9025784674532","0.122542984782194","0.15014801504148","0.816147884128472","0.558169168380511","0.109732743266997","5.08662366183991","-0.195264109191724","0.107141102970151","-1.82249485751629","0.35425699231135","0.172037674223082","2.05918264072777","-0.245432604245409","0.140401385325771","-1.74807822355838"
"19","Steel","0.650037835878239","8.23817739124141","0.0413374115972696","2.28027241046065","0.684363047535511","-0.00527325372319002","0.00271710494518982","-1.94076188795189","1.4921173746423","0.0986400506948592","15.126891806434","0.325285116184777","0.179462708295915","1.81254991231057","0.073833571369004","0.13115681409438","0.562941177542429","-0.00878800268639744","0.128059185487887","-0.0686245399181358","0.238883395658001","0.20562607462027","1.16173688623463","0.383439370606453","0.167813159914904","2.28491836278449"
"20","FabPr","0.510461496556565","52.9467868139827","1.8818845976964e-11","6.59880311266612","0.158670474260792","-0.00433010203246927","0.00298057546755904","-1.45277382827533","1.27110897341994","0.108204917053484","11.7472385547105","0.18731619252878","0.196864735252667","0.951496936657384","0.32462870062539","0.143874745502552","2.2563285828341","-0.335998539724402","0.140476747994775","-2.39184451890144","0.799886714216463","0.225565094417368","3.54614580896287","-0.0773962691069346","0.184085560795657","-0.420436392579686"
"21","Mach","0.749579210421983","1.94985576262633","0.582879280337233","4.03759522595609","0.400941798836265","-0.000988413816110542","0.00177255645949481","-0.557620498244804","1.27144364554462","0.0643497629098213","19.7583268073016","0.292906543145904","0.1170760015698","2.50184956112695","0.146654282084833","0.0855627083677153","1.71399766186187","-0.0554819579144937","0.0835419098684609","-0.664121253654024","0.143863451825509","0.134144184402585","1.07245388584089","0.0029289577910663","0.109476191238766","0.0267542902061535"
