"","industry","Rsq","DWH","DWH-p-val","J","J-p-val","a","SE(a)","t(a)","b","SE(b)","t(b)","psi.b","SE(psi.b)","t(psi.b)"
"11","Hlth","0.31418495967778","0.825212542950874","0.363660535376898","2.39613021165992","0.301777555008465","-0.000970163598277854","0.00309380241818428","-0.313582920672495","1.00435963239101","0.178753045370009","5.61869942026466","-0.191948441660877","0.191293684342818","-1.00342278586096"
"12","MedEq","0.53972775431028","0.503446843373783","0.477989511756056","0.015923311168","0.992069954450787","0.00252995268502525","0.00194216624342193","1.30264476256558","0.916962537635978","0.112214060143585","8.171547633716","-0.0888773823507853","0.120086575059461","-0.740110893384854"
"13","Drugs","0.418427226281047","3.73328203690328","0.0533384906743387","0.0533532767861801","0.973676040073639","0.00465231147233687","0.0020176832795323","2.30576895766082","0.477848059188609","0.116577267083597","4.0989814836365","0.231598963318258","0.124755888129777","1.85641709413617"
"14","Chems","0.626755488862916","0.279176601540925","0.597241409705564","3.10345274718665","0.211881870635859","0.000510295932590744","0.00201977280225404","0.252650165415268","0.975281186877917","0.116697995074397","8.35730884884661","0.0788911659512814","0.124885085940733","0.631710066554469"
"15","Rubbr","0.568544088593044","0.0525046957769814","0.818760857590775","0.190680311412826","0.909063658679259","0.00165192241756176","0.00220988393006053","0.747515466803954","1.04108417349756","0.127682194600003","8.15371459394964","-0.032456019480216","0.136639895445994","-0.237529598323236"
"16","Txtls","0.419898314434933","0.496659912511225","0.480971415627374","7.29924399126248","0.0260009553961179","-0.00441567325357277","0.00365189167878178","-1.20914683182656","1.43734357906531","0.210998205672989","6.81211280674558","-0.225745957975326","0.225801043385646","-0.999756044482818"
"17","BldMt","0.653382885573925","1.34965839213696","0.245337846025237","8.93649905099519","0.0114673716334702","-0.00208084128294837","0.00216228509499955","-0.962334378459379","1.4069173906514","0.124932039427453","11.2614618083489","-0.258250243357711","0.133696799766799","-1.93161125627663"
"18","Cnstr","0.563646881182123","0.452940787423033","0.500941719609896","4.04384673291882","0.132400565219431","-0.00168108699780202","0.00267337448175768","-0.628825856337471","1.32963031099565","0.154461651209489","8.60815808056032","-0.134378120014794","0.165298097654094","-0.812944141051135"
"19","Steel","0.601572796785453","1.4691533337132","0.225479326081433","0.652205656570269","0.72173096925802","-0.00662014882170401","0.00312501479981447","-2.11843759015063","1.75060853061412","0.180556427588878","9.69563118849585","-0.252213411835513","0.193223585051427","-1.3052930974673"
"20","FabPr","0.393378287359074","3.06170066075508","0.0801577326603149","0.193863109542959","0.907618126137392","-0.00504964489451796","0.00357641074440037","-1.41193091493315","1.47116126119401","0.206637084610847","7.11954131546429","-0.372936183567067","0.221133962530517","-1.68647176263393"
"21","Mach","0.71269673255861","0.65663538699835","0.417750297209949","0.705503249703375","0.702751717764711","-0.00118951401204835","0.00204652422787151","-0.581236222786135","1.39397362811777","0.118243633143915","11.7889952385103","-0.124801957729385","0.12653916014331","-0.986271424498487"
"22","ElcEq","0.722624489818801","0.180920073785205","0.670583733146649","1.0202620937334","0.600416890904209","0.00112879525952057","0.00195474462728993","0.577464311072456","1.19231919696736","0.11294081127967","10.557027025553","0.0753971030457126","0.120864312312185","0.623816092635901"
"23","Autos","0.506918352396568","0.0108441401526918","0.917062056098531","26.7150143788028","1.58091432844731e-06","-0.00045910105818187","0.00347280139047842","-0.13219905389367","1.37563220618422","0.200650765822837","6.85585325599421","0.035432937507551","0.214727666211264","0.165013377794967"
"24","Aero","0.489497229462054","1.1977281696945","0.273776217198131","1.95800414201969","0.375685819618531","-1.35450351199067e-05","0.00266547597869752","-0.00508165717048608","1.31723419756218","0.154005293212104","8.55317482982886","-0.320503455353539","0.164809723302102","-1.94468778256514"
"25","Ships","0.412028546036814","0.618994510847684","0.431421177551274","2.92577328046141","0.231566858802404","0.00386698932366355","0.00326647296289658","1.18384244032881","0.924819040959311","0.188729566666781","4.90023400833724","0.191219516726491","0.201970120718118","0.946771314720205"
"26","Guns","0.146471185211606","5.63525854499008","0.0176027491605712","1.52161596869467","0.467288712471377","0.00379964717645349","0.00320341514222377","1.18612387335343","0.929524982221385","0.185086225575117","5.02211863326446","-0.47715647820005","0.198071176566989","-2.40901521599571"
"27","Gold","0.0194158286437072","0.528079910542448","0.467415225382264","5.97738835989785","0.0503531459596647","-0.000339176610368824","0.006313826282593","-0.0537196614521882","0.734196629173725","0.364798886094696","2.01260655434989","-0.41189847779029","0.390391799036272","-1.05508998602714"
"28","Mines","0.381831659940752","0.602128160182313","0.437767186680674","1.33261119311868","0.513602532078404","-0.000219577878187774","0.00365953277962646","-0.0600016153456033","1.35015039732007","0.211439691540974","6.38551062707368","-0.231130250062647","0.226273502235772","-1.02146405910938"
"29","Coal","0.153328447634679","0.30764365505741","0.579129745046864","0.888503522345621","0.641303945068171","-0.00184078352923247","0.00671662866931221","-0.274063614331232","1.34660888055436","0.388071915065506","3.46999828711401","-0.221554784049729","0.415297575877322","-0.533484414354435"
"30","Oil","0.334560884997759","0.214971279588861","0.642898558520596","12.3758215271838","0.00205411380273002","-0.000372148745019777","0.00303741911069264","-0.122521368127862","0.975547533202506","0.175495342853867","5.55882291426293","-0.130527041421507","0.187807433714104","-0.695004658975352"
"31","Util","0.187188092937736","0.380393181689868","0.537392887267501","0.177821680912178","0.914927144424897","0.00250825095117335","0.00207008313621533","1.21166677187618","0.506631221208698","0.119604814642545","4.23587647974567","-0.124134833037609","0.127995836998204","-0.969834925485511"
"32","Telcm","0.632973672516401","0.0330369737587053","0.855770480725508","0.389435226700028","0.823067048389019","-0.00167140825296418","0.00174779283259785","-0.956296548304217","0.930430414955186","0.100983595353868","9.21367883263375","-0.0166100829710983","0.108068223248669","-0.1536999727744"
"33","PerSv","0.458435061395218","0.0271638106131546","0.869090011780013","0.749347512534399","0.687513539190585","-0.00129393221089094","0.00246770227347512","-0.524346970377741","0.869932183994867","0.142578366949837","6.10143181329137","0.0428658761455888","0.152581127023376","0.280938258760022"
"34","BusSv","0.831920322999136","1.11021467886185","0.292035286881923","5.81602176822453","0.0545841962493057","-0.000844727227495429","0.00120112757433901","-0.703278523898919","1.16307319787319","0.0693984885812449","16.7593447876257","-0.112734622605319","0.0742672246005642","-1.51795927761736"
"35","Hardw","0.585265021162054","1.30213133555778","0.253824277382885","7.35537794099462","0.0252813332822899","0.00108971262401105","0.00293485968965785","0.37129973465208","1.18111979383185","0.169569686860582","6.96539467459742","0.238625244491693","0.181466056062287","1.31498556628015"
"36","Softw","0.65618466977417","3.42062083201053","0.0643867951321359","3.92394745395081","0.140580679039446","0.00425964122186088","0.00239127356096282","1.78132744467169","1.10320432599491","0.13816248536833","7.98483266317808","0.243260980555405","0.147855443857533","1.64526225216165"
"37","Chips","0.631328936343546","0.383103959228416","0.535946713506757","7.62818772787785","0.0220576926715399","0.00243246554939787","0.00279983417080033","0.868789150002606","1.35389353910098","0.161768211706066","8.36934231282113","0.123273368421795","0.17311725885703","0.712080177537937"
"38","LabEq","0.686630771090612","0.0383275516357422","0.844786876218099","2.30719891223097","0.315499097950628","0.00162357819463432","0.00202111826568585","0.803306873328054","1.16961094408368","0.116775732968859","10.015873284183","0.0273021675550864","0.124968277632454","0.218472784232372"
"39","Paper","0.542046226794205","0.0345541889014277","0.852532929552154","1.4346756238901","0.488049808399471","-0.00042118795228722","0.00197659074237564","-0.213088093178561","0.837921305758846","0.114203031380773","7.33711965109811","0.0238064422064188","0.122215085011424","0.194791356600485"
"40","Boxes","0.494890141060158","6.63787375931648","0.00998330165140235","0.398178150150107","0.819476895115876","-0.00148793966620523","0.0024037000021697","-0.619020537031303","1.2122126622986","0.138880457594283","8.72846103258015","-0.305900980628068","0.148623786304925","-2.05822357398744"
"41","Trans","0.61009761291606","0.458291139741508","0.498423695982457","0.153729576324214","0.92601505333934","0.0014102860314763","0.00192608665695803","0.732202793878254","0.885167117298179","0.111285017282988","7.95405472281392","0.0870488884853124","0.11909235405837","0.730935996467481"
"42","Whlsl","0.693399063530509","5.93495051798699","0.0148434855131231","4.7480309816689","0.0931061079201497","-0.00159587773464685","0.00153659332142039","-1.03858171996456","1.10752850370833","0.0887809557858943","12.4748432127636","-0.215907801516908","0.095009492546581","-2.27248662980758"
"43","Rtail","0.611045610246069","3.76237744591267","0.0524179978459299","0.882884619290282","0.643108190699922","0.00428736886129451","0.00178578561253107","2.40083066590386","0.678380759899109","0.103178733955874","6.57481182303736","0.242012863620759","0.110417364489602","2.19180076194945"
"44","Meals","0.494819973110291","0.519457543914254","0.471073170065988","2.68826405633432","0.2607659471582","0.00273818912746389","0.00201300371192492","1.3602504114836","0.897100875849356","0.116306892040925","7.71322197771131","-0.116926059386102","0.124466544594622","-0.939417574151517"
